1.0000,0.2000,2.0000,0.2412
1.0000,0.2000,4.0000,0.2392
1.0000,0.1000,2.0000,0.3462
1.0000,0.1000,4.0000,0.2712
1.0000,0.0600,2.0000,1.3440
1.0000,0.0600,4.0000,0.8296
1.0000,0.0500,2.0000,2.4738
1.0000,0.0500,4.0000,1.3740
1.0000,0.0400,2.0000,4.9845
1.0000,0.0400,4.0000,3.0852
1.5000,0.2000,2.0000,0.1951
1.5000,0.2000,4.0000,0.2182
1.5000,0.1000,2.0000,0.5194
1.5000,0.1000,4.0000,0.2952
1.5000,0.0600,2.0000,1.7222
1.5000,0.0600,4.0000,0.8436
1.5000,0.0500,2.0000,2.6369
1.5000,0.0500,4.0000,1.5961
1.5000,0.0400,2.0000,5.5449
1.5000,0.0400,4.0000,3.3694
2.0000,0.2000,2.0000,0.2422
2.0000,0.2000,4.0000,0.3262
2.0000,0.1000,2.0000,0.6525
2.0000,0.1000,4.0000,0.3943
2.0000,0.0600,2.0000,1.5611
2.0000,0.0600,4.0000,0.8666
2.0000,0.0500,2.0000,3.0492
2.0000,0.0500,4.0000,1.6992
2.0000,0.0400,2.0000,6.0184
2.0000,0.0400,4.0000,3.6246
