1, 0.371621, 0.352941, 0.079646, 0.079157, 0.066241, 0.0631995, 0.068261
0.5, 0.472973, 0.411764, 0.084071, 0.123783, 0.0941495, 0.101382, 0.118086
1, 0.540541, 0.529412, 0.110619, 0.179741, 0.144923, 0.147466, 0.16293
0, 0.608108, 0.546219, 0.123894, 0.214096, 0.129792, 0.193549, 0.207773
1, 0.47973, 0.495798, 0.097345, 0.143085, 0.11197, 0.105991, 0.133034
1, 0.560811, 0.546219, 0.119469, 0.191075, 0.145595, 0.124424, 0.187843
0, 0.621622, 0.588236, 0.128319, 0.241721, 0.182582, 0.22449, 0.20279
0, 0.533784, 0.504202, 0.0884955, 0.1677, 0.11197, 0.105332, 0.18286
0, 0.493243, 0.478992, 0.0884955, 0.159023, 0.125756, 0.113891, 0.128052
1, 0.391892, 0.403361, 0.0707965, 0.089782, 0.0645595, 0.055958, 0.0981565
1, 0.506757, 0.445378, 0.0884955, 0.13423, 0.113988, 0.098091, 0.113104
1, 0.378379, 0.378151, 0.084071, 0.0862405, 0.063551, 0.0809745, 0.0732435
0, 0.641892, 0.605042, 0.119469, 0.269701, 0.213181, 0.27584, 0.197808
0, 0.72973, 0.714286, 0.146018, 0.41066, 0.344317, 0.395655, 0.302442
0, 0.655405, 0.647059, 0.123894, 0.328139, 0.256557, 0.246873, 0.297459
0, 0.682432, 0.663865, 0.163717, 0.351868, 0.264627, 0.357472, 0.282511
0, 0.817568, 0.848739, 0.146018, 0.579777, 0.406523, 0.368664, 0.456901
1, 0.527027, 0.504202, 0.0929205, 0.169117, 0.151984, 0.162607, 0.123069
0, 0.506757, 0.504202, 0.0929205, 0.184345, 0.158709, 0.152732, 0.143
1, 0.378379, 0.394958, 0.079646, 0.115283, 0.089442, 0.112574, 0.0881915
1, 0.533784, 0.529412, 0.106195, 0.204533, 0.196369, 0.298223, 0.138017
0, 0.52027, 0.537815, 0.106195, 0.162387, 0.118696, 0.144174, 0.147982
0.5, 0.601352, 0.596638, 0.106195, 0.210023, 0.159718, 0.145491, 0.187843
0, 0.533784, 0.512605, 0.106195, 0.168408, 0.140887, 0.138249, 0.147982
0, 0.581081, 0.579832, 0.110619, 0.205773, 0.164762, 0.170507, 0.172895
1, 0.601352, 0.579832, 0.106195, 0.204711, 0.156691, 0.172482, 0.18286
0, 0.70946, 0.697479, 0.132744, 0.325836, 0.243443, 0.254773, 0.302442
1, 0.743243, 0.689075, 0.123894, 0.422525, 0.323806, 0.269256, 0.39711
1, 0.655405, 0.647059, 0.141593, 0.305472, 0.221587, 0.272547, 0.257599
0, 0.675675, 0.663865, 0.141593, 0.345493, 0.210155, 0.303489, 0.327354
1, 0.648648, 0.647059, 0.132744, 0.26669, 0.205784, 0.200132, 0.257599
0, 0.743243, 0.739496, 0.146018, 0.446254, 0.340282, 0.418038, 0.387145
1, 0.621622, 0.638656, 0.132744, 0.256065, 0.180229, 0.181698, 0.247634
0.5, 0.385135, 0.352941, 0.084071, 0.081282, 0.0699395, 0.059908, 0.0732435
1, 0.614865, 0.638656, 0.141593, 0.312024, 0.211836, 0.215273, 0.332337
1, 0.614865, 0.605042, 0.123894, 0.255711, 0.208137, 0.219882, 0.20279
1, 0.716216, 0.697479, 0.141593, 0.414911, 0.333894, 0.315997, 0.342302
0, 0.587838, 0.563025, 0.119469, 0.223658, 0.154674, 0.235023, 0.197808
1, 0.527027, 0.512605, 0.0929205, 0.151939, 0.114997, 0.140224, 0.172895
0.5, 0.486486, 0.445378, 0.0707965, 0.117053, 0.099193, 0.0829495, 0.103139
0, 0.635135, 0.596638, 0.110619, 0.244909, 0.199395, 0.191574, 0.207773
1, 0.445946, 0.420168, 0.075221, 0.091553, 0.076328, 0.0776825, 0.083209
0, 0.533784, 0.521008, 0.0929205, 0.14822, 0.108944, 0.135615, 0.138017
0.5, 0.418919, 0.394958, 0.075221, 0.0880115, 0.074647, 0.0796575, 0.078226
1, 0.858108, 0.815126, 0.146018, 0.693111, 0.514795, 0.342989, 0.775785
0, 0.493243, 0.495798, 0.110619, 0.142199, 0.117014, 0.082291, 0.127055
0, 0.337838, 0.344538, 0.079646, 0.0671155, 0.0564895, 0.0467415, 0.060289
0, 0.472973, 0.462185, 0.10177, 0.143085, 0.109281, 0.105991, 0.133532
0, 0.310811, 0.294118, 0.0707965, 0.054542, 0.044721, 0.0447665, 0.046338
1, 0.405405, 0.386555, 0.084071, 0.088897, 0.063887, 0.0750495, 0.0906825
0, 0.662162, 0.655462, 0.137168, 0.291836, 0.228648, 0.269915, 0.245142
0, 0.641892, 0.663865, 0.128319, 0.261732, 0.197713, 0.188282, 0.264076
1, 0.540541, 0.537815, 0.115044, 0.182575, 0.13887, 0.152732, 0.167913
0, 0.716216, 0.747899, 0.163717, 0.395431, 0.314727, 0.339697, 0.332337
0, 0.756757, 0.773109, 0.168141, 0.485036, 0.339946, 0.400921, 0.446935
1, 0.594595, 0.588236, 0.115044, 0.255003, 0.214526, 0.171824, 0.207773
0, 0.675675, 0.680673, 0.168141, 0.351337, 0.262945, 0.318631, 0.337319
